,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTY,Unemployment_rate_2016,Med_HH_Income_Percent_of_State_Total_2015,GEO.display-label,POPESTIMATE2016,AVG_NETMIG,POP_CHANGE,BIRTHS_PER_CAPITA,MEDIAN_HOUSEHOLD_INCOME,PERCENT_W_HEALTH_INSURANCE,PERCENTAGE_IN_POVERTY,PERCENT_WITH_KIDS,BACHELORS_DEGREE,MEDIAN_MORTAGE_PAYMENTS,MEDIAN_RENT_PAYMENT,2010_FAM_KIDS,2015_FAM_KIDS,2010_2010_CHANGE_IN_FAM_WITH_KIDS
27,50,3,6,1,53,Alabama,"Escambia County, Alabama",6.7,82.2,"Escambia County, Alabama",37728,-2.145762407,-0.01529467,0.011662426,32330,81.5,20.3,26.4,12.5,962,560,16.2,14.3,-0.117283951
28,50,3,6,1,55,Alabama,"Etowah County, Alabama",6.0,94.0,"Etowah County, Alabama",102564,-0.642718966,-0.018047085,0.011193011,39220,86.9,15.4,25.9,16,1060,621,18.4,16.3,-0.114130435
29,50,3,6,1,57,Alabama,"Fayette County, Alabama",7.0,82.7,"Fayette County, Alabama",16546,-3.09318134,-0.039753932,0.010274387,34680,90.5,14,25.9,14.1,924,469,17.6,16.2,-0.079545455
30,50,3,6,1,59,Alabama,"Franklin County, Alabama",6.1,86.0,"Franklin County, Alabama",31628,-0.699677098,-0.003340266,0.011477172,35372,84.2,17,27.6,11.4,888,534,21.3,16.5,-0.225352113
31,50,3,6,1,61,Alabama,"Geneva County, Alabama",5.9,80.9,"Geneva County, Alabama",26614,0.569903011,-0.006792059,0.010671075,36024,84.6,18,24.9,12.3,907,559,16.1,15.8,-0.01863354
32,50,3,6,1,63,Alabama,"Greene County, Alabama",10.1,56.7,"Greene County, Alabama",8422,-10.80858793,-0.064326186,0.011754928,20541,85.4,35.3,19.8,10.9,820,343,9,8.2,-0.088888889
33,50,3,6,1,65,Alabama,"Hale County, Alabama",7.8,79.1,"Hale County, Alabama",14952,-10.51418187,-0.050063532,0.015115035,32714,87.7,22.6,25.5,13.9,980,460,15.5,12.3,-0.206451613
34,50,3,6,1,67,Alabama,"Henry County, Alabama",6.6,94.8,"Henry County, Alabama",17164,0.967115577,-0.007517058,0.009671405,41997,87.7,10.9,23.7,16.5,1020,595,14.8,16,0.081081081
35,50,3,6,1,69,Alabama,"Houston County, Alabama",5.9,97.2,"Houston County, Alabama",104056,1.407469389,0.022120938,0.012320289,41571,87.2,14.6,27.1,20.6,1039,691,18.4,16,-0.130434783
36,50,3,6,1,71,Alabama,"Jackson County, Alabama",6.4,89.7,"Jackson County, Alabama",52138,-0.890831424,-0.019612268,0.009954352,37745,85.7,15.3,25.9,12.4,973,564,18.9,18.4,-0.026455026
37,50,3,6,1,73,Alabama,"Jefferson County, Alabama",5.9,108.0,"Jefferson County, Alabama",659521,-2.1406964,0.002083112,0.013305111,45610,88.2,15,26.7,30.8,1272,810,17.1,15.9,-0.070175439
38,50,3,6,1,75,Alabama,"Lamar County, Alabama",5.7,81.5,"Lamar County, Alabama",13918,-2.729973689,-0.03980683,0.009699669,35450,86.7,19,26.7,11.5,861,426,17.3,17.7,0.023121387
39,50,3,6,1,77,Alabama,"Lauderdale County, Alabama",6.4,95.9,"Lauderdale County, Alabama",92318,1.026005531,-0.004625487,0.010182196,43125,88.7,13,25.2,21.8,1021,593,18.4,17.3,-0.059782609
40,50,3,6,1,79,Alabama,"Lawrence County, Alabama",7.0,93.2,"Lawrence County, Alabama",33244,-4.111356651,-0.030956684,0.011430634,40003,88.6,14.9,26.7,11.1,1012,562,23.8,17.1,-0.281512605
41,50,3,6,1,81,Alabama,"Lee County, Alabama",5.3,103.6,"Lee County, Alabama",158991,14.6088505,0.129165365,0.011975521,44570,89.5,14.3,29.4,34,1212,792,18.8,19.7,0.04787234
42,50,3,6,1,83,Alabama,"Limestone County, Alabama",5.3,122.8,"Limestone County, Alabama",92753,14.4811282,0.115329117,0.01092148,49570,87.4,11.3,29.8,23.2,1137,616,22.9,21.4,-0.065502183
43,50,3,6,1,85,Alabama,"Lowndes County, Alabama",10.8,69.4,"Lowndes County, Alabama",10358,-14.82348433,-0.081574747,0.011874879,25876,86.4,24.9,23.7,14.1,960,568,12.9,8.9,-0.310077519
44,50,3,6,1,87,Alabama,"Macon County, Alabama",7.7,65.8,"Macon County, Alabama",18963,-18.47246196,-0.117958975,0.009808575,30738,87.6,22.1,20.4,19.3,964,592,10.4,7,-0.326923077
45,50,3,6,1,89,Alabama,"Madison County, Alabama",5.2,131.9,"Madison County, Alabama",356967,5.946873853,0.06193087,0.011903061,57993,88.1,10,27.9,39.4,1219,765,20.5,19.4,-0.053658537
46,50,3,6,1,91,Alabama,"Marengo County, Alabama",7.4,78.9,"Marengo County, Alabama",19673,-10.18927372,-0.061089104,0.01169115,32042,88,19.4,25.3,15.3,1031,530,16.4,14.4,-0.12195122
47,50,3,6,1,93,Alabama,"Marion County, Alabama",6.7,78.0,"Marion County, Alabama",29998,-0.919395394,-0.025975713,0.009733982,32299,88.2,15.9,26.6,11.5,854,485,19.6,17.1,-0.12755102
48,50,3,6,1,95,Alabama,"Marshall County, Alabama",5.5,90.6,"Marshall County, Alabama",95157,1.395808014,0.021545894,0.013451454,38983,83.1,15.4,29.3,16.6,1035,594,20.6,19.3,-0.063106796
49,50,3,6,1,97,Alabama,"Mobile County, Alabama",6.9,94.9,"Mobile County, Alabama",414836,-2.45110069,0.003548887,0.013489668,43809,85.8,15.7,28.2,22,1163,788,18.7,16.7,-0.106951872
50,50,3,6,1,99,Alabama,"Monroe County, Alabama",9.4,78.4,"Monroe County, Alabama",21530,-9.251950834,-0.063383652,0.010636321,27257,83.1,24.3,22,12.2,894,537,16.4,14.2,-0.134146341
51,50,3,6,1,101,Alabama,"Montgomery County, Alabama",5.9,95.2,"Montgomery County, Alabama",226349,-6.950895816,-0.013961856,0.014004922,44369,87.1,18.1,28.7,31.1,1122,814,16.4,14.6,-0.109756098
52,50,3,6,1,103,Alabama,"Morgan County, Alabama",5.6,105.4,"Morgan County, Alabama",119012,-1.997132334,-0.004999582,0.011183746,45751,85.3,13.1,29.2,21.3,1046,599,20.6,19.1,-0.072815534
53,50,3,6,1,105,Alabama,"Perry County, Alabama",10.6,58.5,"Perry County, Alabama",9574,-13.70717096,-0.091909324,0.011071652,24537,85.6,30,20.6,13.2,1001,512,12.3,5.5,-0.552845528
54,50,3,6,1,107,Alabama,"Pickens County, Alabama",6.9,74.0,"Pickens County, Alabama",20324,6.084342559,0.030785616,0.010627829,30330,87,20,25.3,9.9,974,448,15.3,14.6,-0.045751634
55,50,3,6,1,109,Alabama,"Pike County, Alabama",6.4,76.8,"Pike County, Alabama",33286,-0.429606149,0.009768232,0.011776723,32825,89.3,15.9,24.1,23.4,981,593,15,12.3,-0.18
56,50,3,6,1,111,Alabama,"Randolph County, Alabama",5.7,83.3,"Randolph County, Alabama",22652,-1.184538182,-0.010527235,0.012978986,36924,85.7,16.1,24.6,15.1,878,603,16.5,15.7,-0.048484848
57,50,3,6,1,113,Alabama,"Russell County, Alabama",5.6,80.6,"Russell County, Alabama",58172,8.741786771,0.091304756,0.01500722,37049,83.7,16.8,28.7,17.1,1073,732,15.3,15.7,0.026143791
58,50,3,6,1,115,Alabama,"St. Clair County, Alabama",5.3,119.5,"St. Clair County, Alabama",88019,5.881120596,0.050145557,0.011224849,51859,89.4,12.2,29.4,15.6,1156,699,22.9,22.4,-0.021834061
59,50,3,6,1,117,Alabama,"Shelby County, Alabama",4.4,158.1,"Shelby County, Alabama",210622,6.618589309,0.074311538,0.011318856,70187,91.1,5.6,32.3,40.8,1435,944,28.5,25.9,-0.09122807
60,50,3,6,1,119,Alabama,"Sumter County, Alabama",7.8,57.8,"Sumter County, Alabama",13040,-8.680414263,-0.051084267,0.012423313,19501,80.8,32,19.8,16.3,908,555,9.5,9.7,0.021052632
61,50,3,6,1,121,Alabama,"Talladega County, Alabama",6.8,84.6,"Talladega County, Alabama",80103,-2.280871692,-0.024050587,0.010561402,35155,87.3,19.4,25.9,13.1,986,584,18.3,14.2,-0.224043716
62,50,3,6,1,123,Alabama,"Tallapoosa County, Alabama",5.6,87.1,"Tallapoosa County, Alabama",40727,-1.72828111,-0.018910195,0.011049181,39206,88.1,18,24.6,17.3,988,575,16.5,14.3,-0.133333333
63,50,3,6,1,125,Alabama,"Tuscaloosa County, Alabama",5.8,106.8,"Tuscaloosa County, Alabama",206102,5.441700434,0.056955014,0.012226956,46565,89.7,13.4,28.9,28.5,1210,785,17.9,18.4,0.027932961
64,50,3,6,1,127,Alabama,"Walker County, Alabama",7.6,83.2,"Walker County, Alabama",64967,-2.646965561,-0.030430111,0.012267767,35843,86.5,17,26.2,10.8,959,584,18.5,16.4,-0.113513514
65,50,3,6,1,129,Alabama,"Washington County, Alabama",8.7,95.1,"Washington County, Alabama",16756,-6.356972312,-0.048603225,0.011160181,42811,84.5,15.1,25.4,9.9,961,569,22.2,18.3,-0.175675676
66,50,3,6,1,131,Alabama,"Wilcox County, Alabama",14.7,51.3,"Wilcox County, Alabama",10986,-8.186764817,-0.049818371,0.012743492,23750,83.6,30.4,16.6,12.5,944,424,9.9,7.4,-0.252525253
67,50,3,6,1,133,Alabama,"Winston County, Alabama",7.3,81.4,"Winston County, Alabama",23805,-1.036904387,-0.024465208,0.010039908,33194,86.6,15.8,24.8,11.4,919,515,17.6,17.2,-0.022727273
69,50,4,9,2,13,Alaska,"Aleutians East Borough, Alaska",2.7,77.7,"Aleutians East Borough, Alaska",3296,3.080890548,0.040075734,0.004550971,61518,43.7,12.7,30.3,14,1133,930,15,16.2,0.08
70,50,4,9,2,16,Alaska,"Aleutians West Census Area, Alaska",3.3,110.0,"Aleutians West Census Area, Alaska",5647,-1.020985673,0.018211323,0.005312555,84306,75.8,5.8,34.1,14.7,2107,1270,20,24.4,0.22
71,50,4,9,2,20,Alaska,"Anchorage Municipality, Alaska",5.3,106.0,"Anchorage Municipality, Alaska",298192,-7.400666093,0.016280695,0.015292161,78326,84.5,5.6,33.1,33.2,1971,1197,23.9,22.2,-0.071129707
72,50,4,9,2,50,Alaska,"Bethel Census Area, Alaska",14.1,61.1,"Bethel Census Area, Alaska",17968,-9.387626877,0.052113831,0.024209706,51012,74.4,22.6,43.7,11.6,1638,1169,29.7,27.7,-0.067340067
73,50,4,9,2,60,Alaska,"Bristol Bay Borough, Alaska",6.9,90.4,"Bristol Bay Borough, Alaska",898,-22.4063051,-0.104685942,0.012249443,79750,80.1,3.7,31.3,20,1793,1063,13.2,19.6,0.484848485
74,50,4,9,2,68,Alaska,"Denali Borough, Alaska",8.6,99.5,"Denali Borough, Alaska",1953,2.364975568,0.065466448,0.010240655,81544,74.8,2.7,26.7,33.3,1469,1044,19.9,25,0.256281407
75,50,4,9,2,70,Alaska,"Dillingham Census Area, Alaska",9.7,69.2,"Dillingham Census Area, Alaska",4954,-9.423539163,0.020391349,0.019580137,54173,70.9,14.8,36.6,16.2,1542,950,23.5,23.5,0
76,50,4,9,2,90,Alaska,"Fairbanks North Star Borough, Alaska",5.7,96.6,"Fairbanks North Star Borough, Alaska",100605,-8.469252288,0.023521512,0.016659212,71068,86.8,5.3,30.9,31.7,1865,1216,24.9,21.6,-0.13253012
77,50,4,9,2,100,Alaska,"Haines Borough, Alaska",9.8,78.9,"Haines Borough, Alaska",2496,-0.54763338,-0.0016,0.006410256,58750,74.5,1.3,21.4,35.6,1367,868,15.1,16.7,0.105960265
78,50,4,9,2,105,Alaska,"Hoonah-Angoon Census Area, Alaska",11.5,73.2,"Hoonah-Angoon Census Area, Alaska",2078,-9.636765368,-0.026697892,0.008662175,52419,71,8.3,18.8,26.6,1477,725,17.8,11.4,-0.359550562
79,50,4,9,2,110,Alaska,"Juneau City and Borough, Alaska",4.4,112.9,"Juneau City and Borough, Alaska",32468,-0.74683186,0.034276249,0.012073426,85746,85.5,4,30.1,38.5,2096,1188,22.4,19.8,-0.116071429
80,50,4,9,2,122,Alaska,"Kenai Peninsula Borough, Alaska",8.2,84.5,"Kenai Peninsula Borough, Alaska",58506,3.41571056,0.052834263,0.012374799,63684,78.8,6.4,27,22.8,1462,940,20.7,18.4,-0.111111111
81,50,4,9,2,130,Alaska,"Ketchikan Gateway Borough, Alaska",6.2,89.0,"Ketchikan Gateway Borough, Alaska",13746,-3.377089119,0.015289165,0.012221737,64222,81.2,6.9,27.4,23.8,1734,1033,19.8,18.7,-0.055555556
82,50,4,9,2,150,Alaska,"Kodiak Island Borough, Alaska",5.0,92.0,"Kodiak Island Borough, Alaska",13732,-10.86503661,0.005859947,0.016239441,70887,74.4,7.9,42.9,24.7,1949,981,25,27.8,0.112
83,50,4,9,2,158,Alaska,"Kusilvak Census Area, Alaska",21.3,45.7,"Kusilvak Census Area, Alaska",8049,-7.480806804,0.078376206,0.026587154,38229,71.9,30.2,55.6,5,625,514,19.3,32.6,0.689119171
84,50,4,9,2,164,Alaska,"Lake and Peninsula Borough, Alaska",12.3,57.4,"Lake and Peninsula Borough, Alaska",1562,-18.46855187,-0.046398046,0.018565941,50781,65,11.3,33.6,12.9,907,707,27,17.7,-0.344444444
85,50,4,9,2,170,Alaska,"Matanuska-Susitna Borough, Alaska",8.1,104.4,"Matanuska-Susitna Borough, Alaska",104365,16.0009693,0.162633959,0.014506779,72983,81.6,6.9,34.2,20.7,1670,1073,23.3,25.5,0.094420601
86,50,4,9,2,180,Alaska,"Nome Census Area, Alaska",12.5,72.2,"Nome Census Area, Alaska",9917,-9.546407771,0.039953859,0.021679944,48868,71.8,21.9,43.4,14.1,1536,1188,19.8,21.4,0.080808081
87,50,4,9,2,185,Alaska,"North Slope Borough, Alaska",6.5,96.5,"North Slope Borough, Alaska",9606,-9.65483813,0.014682582,0.016760358,72576,77.5,9.7,41.7,13.9,1196,1087,26,24.4,-0.061538462
88,50,4,9,2,188,Alaska,"Northwest Arctic Borough, Alaska",15.7,73.3,"Northwest Arctic Borough, Alaska",7673,-14.64802631,0.017369398,0.023328555,63648,67.9,20.4,45.9,10.6,1371,1141,20.3,26.3,0.295566502
89,50,4,9,2,195,Alaska,"Petersburg Borough, Alaska",8.6,86.0,"Petersburg Borough, Alaska",3149,-10.45629078,-0.021137706,0.011432201,67935,78.1,6.1,26,25.3,1468,938,19.3,17.1,-0.113989637
90,50,4,9,2,198,Alaska,"Prince of Wales-Hyder Census Area, Alaska",11.7,61.7,"Prince of Wales-Hyder Census Area, Alaska",6347,-1.187892296,0.021732131,0.011816606,48523,66.8,9.2,25.7,15.5,1260,811,23.2,13.8,-0.405172414
91,50,4,9,2,220,Alaska,"Sitka City and Borough, Alaska",4.3,93.3,"Sitka City and Borough, Alaska",8830,-5.197228756,-0.007642167,0.008607022,70376,82.5,3.5,25.9,31.2,1925,1057,17.1,18.8,0.099415205
92,50,4,9,2,230,Alaska,"Skagway Municipality, Alaska",10.6,89.8,"Skagway Municipality, Alaska",1088,13.42647161,0.12746114,0.011029412,69318,75.2,3,19.7,35.9,1875,1020,16.5,13.8,-0.163636364
93,50,4,9,2,240,Alaska,"Southeast Fairbanks Census Area, Alaska",10.2,82.0,"Southeast Fairbanks Census Area, Alaska",6876,-14.45842524,-0.027577429,0.015561373,62670,77.9,11,32.8,17.9,1337,1176,20.9,24.7,0.181818182
94,50,4,9,2,261,Alaska,"Valdez-Cordova Census Area, Alaska",8.2,95.5,"Valdez-Cordova Census Area, Alaska",9355,-12.87598855,-0.031272652,0.014110102,78810,76.9,7.6,31.5,28.7,1720,974,30.8,19.4,-0.37012987
95,50,4,9,2,275,Alaska,"Wrangell City and Borough, Alaska",7.3,74.3,"Wrangell City and Borough, Alaska",2411,0.061540565,0.017299578,0.009954376,48603,78.8,9.1,21.2,19.9,1403,732,13.8,11.4,-0.173913043
96,50,4,9,2,282,Alaska,"Yakutat City and Borough, Alaska",8.1,73.3,"Yakutat City and Borough, Alaska",601,-25.32375978,-0.090771558,0.016638935,72500,78.7,5.1,30.8,15.3,1348,945,18.3,13.2,-0.278688525
97,50,4,9,2,290,Alaska,"Yukon-Koyukuk Census Area, Alaska",17.2,51.4,"Yukon-Koyukuk Census Area, Alaska",5526,-8.777226549,-0.010918203,0.015562794,38491,62.1,18.3,28.2,11.2,1064,638,13.7,13.3,-0.02919708
99,50,4,8,4,1,Arizona,"Apache County, Arizona",11.3,60.4,"Apache County, Arizona",73112,-2.359384373,0.018826382,0.013746033,31757,76.1,29.6,26.6,10.8,890,523,16.7,13.8,-0.173652695
100,50,4,8,4,3,Arizona,"Cochise County, Arizona",6.1,84.4,"Cochise County, Arizona",125770,-11.07900374,-0.045801816,0.012578516,45075,88.5,13.6,24.4,22.9,1166,802,19.1,15.8,-0.172774869
101,50,4,8,4,5,Arizona,"Coconino County, Arizona",5.9,100.9,"Coconino County, Arizona",140908,0.707952463,0.046678155,0.011943963,50234,81.8,15.5,25.7,33.6,1502,1003,18.5,15.9,-0.140540541
102,50,4,8,4,7,Arizona,"Gila County, Arizona",7.2,80.3,"Gila County, Arizona",53556,2.172780529,0.000317526,0.011483307,39751,84.9,15.2,19,16.7,1080,742,12.1,11.2,-0.074380165
103,50,4,8,4,9,Arizona,"Graham County, Arizona",6.7,85.8,"Graham County, Arizona",37599,-6.054944573,0.012358643,0.015452539,45964,86.8,16.5,32.1,13.2,1099,729,20.4,21.9,0.073529412
104,50,4,8,4,11,Arizona,"Greenlee County, Arizona",7.6,114.3,"Greenlee County, Arizona",9613,15.52356197,0.152914368,0.015811921,51628,86.6,10.3,31.3,10.8,806,415,21.1,20.4,-0.033175355
105,50,4,8,4,12,Arizona,"La Paz County, Arizona",6.0,67.7,"La Paz County, Arizona",20317,0.263024955,-0.006455083,0.010090072,34466,86.3,12.2,15.1,9.9,971,592,10.3,9.5,-0.077669903
106,50,4,8,4,13,Arizona,"Maricopa County, Arizona",4.5,108.8,"Maricopa County, Arizona",4242997,10.18683435,0.109101645,0.013215423,54229,84.8,12.6,29.9,30.4,1422,962,21.9,19.5,-0.109589041
107,50,4,8,4,15,Arizona,"Mohave County, Arizona",6.6,78.4,"Mohave County, Arizona",205249,7.338723752,0.024309056,0.009154734,38488,84.4,13.6,18.6,11.8,1041,786,13.2,11,-0.166666667
108,50,4,8,4,17,Arizona,"Navajo County, Arizona",8.1,73.2,"Navajo County, Arizona",110026,-2.845789395,0.021464248,0.014232999,35921,82.2,25.1,27.3,14.7,1053,656,18.7,15.5,-0.171122995
109,50,4,8,4,19,Arizona,"Pima County, Arizona",4.9,91.5,"Pima County, Arizona",1016206,2.542633758,0.034909927,0.01159017,46162,86.7,13.3,25,30.3,1296,816,17.1,15.5,-0.093567251
110,50,4,8,4,21,Arizona,"Pinal County, Arizona",5.5,98.9,"Pinal County, Arizona",418540,10.41726794,0.103162889,0.010854399,49477,86.8,12,29.4,18,1193,992,21.8,19.5,-0.105504587
111,50,4,8,4,23,Arizona,"Santa Cruz County, Arizona",9.9,67.8,"Santa Cruz County, Arizona",45985,-13.24820452,-0.030036491,0.013069479,40140,82.2,19.6,37.1,22,1075,603,24.7,25.2,0.020242915
112,50,4,8,4,25,Arizona,"Yavapai County, Arizona",4.9,91.7,"Yavapai County, Arizona",225562,14.35405202,0.06831045,0.008618473,44748,86.6,11.1,17.6,25.6,1248,857,13.4,11.5,-0.141791045
113,50,4,8,4,27,Arizona,"Yuma County, Arizona",18.6,78.5,"Yuma County, Arizona",205631,-2.026156475,0.043436122,0.014574651,40743,80.6,17.6,35.5,14.4,1108,839,24.9,24.4,-0.020080321
115,50,3,7,5,1,Arkansas,"Arkansas County, Arkansas",3.5,97.9,"Arkansas County, Arkansas",18214,-7.166399819,-0.042124638,0.012737455,36411,87.3,12.7,24.4,12.4,880,622,13.4,16.2,0.208955224
116,50,3,7,5,3,Arkansas,"Ashley County, Arkansas",6.3,94.8,"Ashley County, Arkansas",20492,-10.57112839,-0.061334799,0.011565489,34263,85.7,18.3,27.5,13.2,910,588,20.6,18.2,-0.116504854
117,50,3,7,5,5,Arkansas,"Baxter County, Arkansas",4.3,87.8,"Baxter County, Arkansas",41062,5.752883298,-0.011483184,0.009108178,35396,89.2,10.7,19.2,17.9,923,624,13.3,12.4,-0.067669173
118,50,3,7,5,7,Arkansas,"Benton County, Arkansas",2.9,143.4,"Benton County, Arkansas",258291,17.15388075,0.160514185,0.014050044,56239,87,8.9,35.9,30.2,1179,796,26.3,28.3,0.076045627
119,50,3,7,5,9,Arkansas,"Boone County, Arkansas",3.7,97.3,"Boone County, Arkansas",37304,1.488904264,0.011030707,0.011660948,39251,87.1,13.9,28.6,14.7,892,596,20.7,19.9,-0.038647343
120,50,3,7,5,11,Arkansas,"Bradley County, Arkansas",5.2,88.8,"Bradley County, Arkansas",10996,-6.149108038,-0.04266063,0.011458712,33701,84,21.4,27.4,13,852,565,20.5,16.2,-0.209756098
121,50,3,7,5,13,Arkansas,"Calhoun County, Arkansas",4.7,96.4,"Calhoun County, Arkansas",5144,-5.208272717,-0.036162638,0.009136858,36899,85.9,15.2,23.7,10.4,870,634,13,14.1,0.084615385
122,50,3,7,5,15,Arkansas,"Carroll County, Arkansas",3.6,89.4,"Carroll County, Arkansas",27646,1.164124983,0.003848947,0.011249367,36897,82.4,12.4,23.4,16.7,940,622,17.2,17.1,-0.005813953
123,50,3,7,5,17,Arkansas,"Chicot County, Arkansas",6.6,71.3,"Chicot County, Arkansas",10945,-10.61700711,-0.071907064,0.01142074,28913,85.1,26.5,24.4,11.1,895,575,10.7,12.2,0.140186916
