"Los Angeles, California",121
"Cook, Illinois",97
"New York, New York",58
"Middlesex, Massachusetts",57
"District of Columbia, District of Columbia",57
"Worcester, Massachusetts",55
"Philadelphia, Pennsylvania",49
"Hennepin, Minnesota",46
"San Diego, California",44
"Honolulu, Hawaii",43
"King, Washington",42
"Bronx, New York",40
"Dane, Wisconsin",38
"Santa Clara, California",37
"Maricopa, Arizona",36
"Kings, New York",35
"Alameda, California",34
"Hartford, Connecticut",33
"Westchester, New York",31
"Miami-Dade, Florida",31
"Monroe, New York",29
"Fairfield, Connecticut",29
"Multnomah, Oregon",29
"Cuyahoga, Ohio",29
"Wayne, Michigan",28
"Suffolk, Massachusetts",27
"Contra Costa, California",26
"San Francisco, California",26
"Essex, Massachusetts",25
"Orange, California",25
"New Haven, Connecticut",25
"Franklin, Ohio",25
"Oakland, Michigan",25
"Allegheny, Pennsylvania",24
"Hawaii, Hawaii",24
"Suffolk, New York",24
"Bristol, Massachusetts",23
"Sacramento, California",23
"Milwaukee, Wisconsin",23
"Sonoma, California",23
"Fairfax, Virginia",22
"Pima, Arizona",22
"San Bernardino, California",21
"Placer, California",20
"Prince George's, Maryland",20
"Norfolk, Massachusetts",20
"Baltimore City, Maryland",20
"Pierce, Washington",19
"Hampden, Massachusetts",19
"Erie, New York",19
"Berkshire, Massachusetts",19
"Montgomery, Maryland",19
"San Mateo, California",19
"Bexar, Texas",19
"Richland, South Carolina",19
"Nassau, New York",18
"Queens, New York",18
"New London, Connecticut",18
"Kent, Michigan",18
"DuPage, Illinois",18
"St. Louis, Missouri",18
"Jackson, Missouri",17
"Buncombe, North Carolina",17
"Providence, Rhode Island",17
"Jefferson, Kentucky",17
"Barnstable, Massachusetts",17
"Riverside, California",17
"Baltimore, Maryland",17
"Hillsborough, New Hampshire",16
"Marion, Indiana",16
"San Luis Obispo, California",16
"Cumberland, Maine",16
"Jefferson, New York",16
"Summit, Ohio",16
"Washtenaw, Michigan",16
"Rockingham, New Hampshire",16
"Frederick, Maryland",15
"Clackamas, Oregon",15
"Sussex, Delaware",15
"Orange, New York",15
"Lee, Florida",15
"Jefferson, Alabama",15
"Dutchess, New York",15
"St. Lawrence, New York",15
"Chittenden, Vermont",15
"New Castle, Delaware",15
"Plymouth, Massachusetts",15
"Fulton, Georgia",15
"Wake, North Carolina",14
"Polk, Iowa",14
"Kauai, Hawaii",14
"Litchfield, Connecticut",14
"Oneida, New York",14
"Lancaster, Pennsylvania",14
"El Paso, Colorado",14
"Humboldt, California",14
"Ulster, New York",14
"San Joaquin, California",14
"Denver, Colorado",14
"Onondaga, New York",14
"Chester, Pennsylvania",13
"Washington, Oregon",13
"Lake, Illinois",13
"Albany, New York",13
"Davidson, Tennessee",13
"Kern, California",13
"Marin, California",13
"Middlesex, Connecticut",13
"Fresno, California",13
"Hamilton, Ohio",13
"Merrimack, New Hampshire",13
"Shasta, California",13
"Pinellas, Florida",12
"Lane, Oregon",12
"Waukesha, Wisconsin",12
"Ingham, Michigan",12
"Monterey, California",12
"Montgomery, Pennsylvania",12
"El Paso, Texas",12
"Windsor, Vermont",12
"Mecklenburg, North Carolina",12
"Shelby, Tennessee",12
"Tarrant, Texas",12
"Bucks, Pennsylvania",11
"Williamson, Texas",11
"Snohomish, Washington",11
"Essex, New Jersey",11
"Spokane, Washington",11
"Stark, Ohio",11
"Mercer, New Jersey",11
"Bergen, New Jersey",11
"Travis, Texas",11
"Broward, Florida",11
"Ventura, California",11
"Essex, New York",11
"Franklin, Massachusetts",11
"Camden, New Jersey",11
"Ocean, New Jersey",10
"Orleans, Louisiana",10
"Westmoreland, Pennsylvania",10
"Morris, New Jersey",10
"Greene, Ohio",10
"Stanislaus, California",10
"Kalamazoo, Michigan",10
"Pulaski, Arkansas",10
"Boone, Missouri",10
"El Dorado, California",10
"Marion, Oregon",10
"DeKalb, Georgia",10
"Hancock, Maine",10
"Tolland, Connecticut",10
"York, Maine",10
"Orange, Florida",10
"Arlington, Virginia",10
"Salt Lake, Utah",10
"Saratoga, New York",10
"Nevada, California",10
"Palm Beach, Florida",10
"Clark, Nevada",10
"Windham, Vermont",10
